Training: 2021-10-05 07:19:23,246-rank_id: 0
Training: 2021-10-05 10:59:41,679-Speed 59.77 samples/sec   Loss 1.0091   LearningRate 0.0050   Epoch: 19   Global Step: 2500   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2021-10-05 11:02:36,148-Speed 73.37 samples/sec   Loss 1.1743   LearningRate 0.0050   Epoch: 19   Global Step: 2550   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2021-10-05 11:03:00,341-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_19.pth'
Training: 2021-10-05 11:06:55,956-Speed 49.27 samples/sec   Loss 0.8629   LearningRate 0.0050   Epoch: 20   Global Step: 2600   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2021-10-05 11:10:17,638-Speed 63.47 samples/sec   Loss 0.7299   LearningRate 0.0050   Epoch: 20   Global Step: 2650   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2021-10-05 11:12:47,841-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_20.pth'
Training: 2021-10-05 11:14:43,678-Speed 48.11 samples/sec   Loss 0.6977   LearningRate 0.0050   Epoch: 21   Global Step: 2700   Fp16 Grad Scale: 32768   Required: 4 hours
Training: 2021-10-05 11:17:21,554-Speed 81.08 samples/sec   Loss 0.6348   LearningRate 0.0050   Epoch: 21   Global Step: 2750   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2021-10-05 11:20:38,887-Speed 64.87 samples/sec   Loss 0.7035   LearningRate 0.0050   Epoch: 21   Global Step: 2800   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2021-10-05 11:21:16,295-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_21.pth'
Training: 2021-10-05 11:23:44,183-Speed 69.08 samples/sec   Loss 0.5753   LearningRate 0.0050   Epoch: 22   Global Step: 2850   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2021-10-05 11:26:18,531-Speed 82.93 samples/sec   Loss 0.5414   LearningRate 0.0050   Epoch: 22   Global Step: 2900   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2021-10-05 11:29:30,519-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_22.pth'
Training: 2021-10-05 11:30:06,373-Speed 56.18 samples/sec   Loss 0.5544   LearningRate 0.0050   Epoch: 23   Global Step: 2950   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2021-10-05 11:34:20,789-Speed 50.31 samples/sec   Loss 0.4296   LearningRate 0.0050   Epoch: 23   Global Step: 3000   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2021-10-05 11:37:29,354-Speed 67.88 samples/sec   Loss 0.4734   LearningRate 0.0050   Epoch: 23   Global Step: 3050   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2021-10-05 11:38:40,520-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_23.pth'
Training: 2021-10-05 11:40:24,281-Speed 73.17 samples/sec   Loss 0.4632   LearningRate 0.0005   Epoch: 24   Global Step: 3100   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2021-10-05 11:43:16,265-Speed 74.43 samples/sec   Loss 0.4089   LearningRate 0.0005   Epoch: 24   Global Step: 3150   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2021-10-05 11:46:52,385-Speed 59.23 samples/sec   Loss 0.3145   LearningRate 0.0005   Epoch: 24   Global Step: 3200   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2021-10-05 11:46:53,039-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_24.pth'
Training: 2021-10-05 11:52:00,819-Speed 41.50 samples/sec   Loss 0.3179   LearningRate 0.0005   Epoch: 25   Global Step: 3250   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2021-10-05 11:55:57,768-Speed 54.02 samples/sec   Loss 0.3721   LearningRate 0.0005   Epoch: 25   Global Step: 3300   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2021-10-05 11:58:36,439-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_25.pth'
Training: 2021-10-05 12:00:28,745-Speed 47.24 samples/sec   Loss 0.3034   LearningRate 0.0005   Epoch: 26   Global Step: 3350   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:04:06,191-Speed 58.87 samples/sec   Loss 0.2806   LearningRate 0.0005   Epoch: 26   Global Step: 3400   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:07:22,889-Speed 65.07 samples/sec   Loss 0.3419   LearningRate 0.0005   Epoch: 26   Global Step: 3450   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:07:58,874-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_26.pth'
Training: 2021-10-05 12:11:25,074-Speed 52.85 samples/sec   Loss 0.2621   LearningRate 0.0005   Epoch: 27   Global Step: 3500   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:14:47,406-Speed 63.26 samples/sec   Loss 0.3066   LearningRate 0.0005   Epoch: 27   Global Step: 3550   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:16:45,259-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_27.pth'
Training: 2021-10-05 12:18:42,076-Speed 54.54 samples/sec   Loss 0.2991   LearningRate 0.0005   Epoch: 28   Global Step: 3600   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:22:02,787-Speed 63.77 samples/sec   Loss 0.2678   LearningRate 0.0005   Epoch: 28   Global Step: 3650   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:25:08,856-Speed 68.79 samples/sec   Loss 0.2817   LearningRate 0.0005   Epoch: 28   Global Step: 3700   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:25:44,236-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_28.pth'
Training: 2021-10-05 12:28:44,435-Speed 59.38 samples/sec   Loss 0.2260   LearningRate 0.0005   Epoch: 29   Global Step: 3750   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:31:57,955-Speed 66.14 samples/sec   Loss 0.2276   LearningRate 0.0005   Epoch: 29   Global Step: 3800   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:34:37,401-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_29.pth'
Training: 2021-10-05 12:35:35,162-Speed 58.93 samples/sec   Loss 0.2282   LearningRate 0.0001   Epoch: 30   Global Step: 3850   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:39:15,887-Speed 57.99 samples/sec   Loss 0.2379   LearningRate 0.0001   Epoch: 30   Global Step: 3900   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:42:05,551-Speed 75.44 samples/sec   Loss 0.2293   LearningRate 0.0001   Epoch: 30   Global Step: 3950   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:42:51,705-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_30.pth'
Training: 2021-10-05 12:46:07,278-Speed 52.95 samples/sec   Loss 0.2123   LearningRate 0.0001   Epoch: 31   Global Step: 4000   Fp16 Grad Scale: 32768   Required: 2 hours
Training: 2021-10-05 12:49:18,050-Speed 67.10 samples/sec   Loss 0.2341   LearningRate 0.0001   Epoch: 31   Global Step: 4050   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 12:52:16,523-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_31.pth'
Training: 2021-10-05 12:52:58,195-Speed 58.14 samples/sec   Loss 0.2480   LearningRate 0.0001   Epoch: 32   Global Step: 4100   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 12:55:47,316-Speed 75.69 samples/sec   Loss 0.2704   LearningRate 0.0001   Epoch: 32   Global Step: 4150   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 12:58:55,716-Speed 67.94 samples/sec   Loss 0.2158   LearningRate 0.0001   Epoch: 32   Global Step: 4200   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 13:00:23,116-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_32.pth'
Training: 2021-10-05 13:02:02,083-Speed 68.68 samples/sec   Loss 0.1999   LearningRate 0.0001   Epoch: 33   Global Step: 4250   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 13:05:07,520-Speed 69.03 samples/sec   Loss 0.2553   LearningRate 0.0001   Epoch: 33   Global Step: 4300   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 13:08:36,054-Speed 61.38 samples/sec   Loss 0.2225   LearningRate 0.0001   Epoch: 33   Global Step: 4350   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 13:08:42,349-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_33.pth'
Training: 2021-10-05 13:12:32,363-Speed 54.17 samples/sec   Loss 0.2219   LearningRate 0.0001   Epoch: 34   Global Step: 4400   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 13:15:13,047-Speed 79.67 samples/sec   Loss 0.2121   LearningRate 0.0001   Epoch: 34   Global Step: 4450   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 13:17:23,658-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_34.pth'
Training: 2021-10-05 13:18:51,225-Speed 58.67 samples/sec   Loss 0.2395   LearningRate 0.0001   Epoch: 35   Global Step: 4500   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 13:21:17,877-Speed 87.28 samples/sec   Loss 0.2119   LearningRate 0.0001   Epoch: 35   Global Step: 4550   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 13:23:37,669-Speed 91.57 samples/sec   Loss 0.2399   LearningRate 0.0001   Epoch: 35   Global Step: 4600   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 13:23:57,025-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_35.pth'
Training: 2021-10-05 13:27:06,261-Speed 61.36 samples/sec   Loss 0.2299   LearningRate 0.0000   Epoch: 36   Global Step: 4650   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 13:29:13,241-Speed 100.80 samples/sec   Loss 0.2528   LearningRate 0.0000   Epoch: 36   Global Step: 4700   Fp16 Grad Scale: 32768   Required: 1 hours
Training: 2021-10-05 13:31:36,115-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_36.pth'
Training: 2021-10-05 13:33:20,227-Speed 51.83 samples/sec   Loss 0.2100   LearningRate 0.0000   Epoch: 37   Global Step: 4750   Fp16 Grad Scale: 32768   Required: 0 hours
Training: 2021-10-05 13:36:51,716-Speed 60.52 samples/sec   Loss 0.2065   LearningRate 0.0000   Epoch: 37   Global Step: 4800   Fp16 Grad Scale: 32768   Required: 0 hours
Training: 2021-10-05 13:40:08,267-Speed 65.12 samples/sec   Loss 0.2477   LearningRate 0.0000   Epoch: 37   Global Step: 4850   Fp16 Grad Scale: 32768   Required: 0 hours
Training: 2021-10-05 13:41:13,057-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_37.pth'
Training: 2021-10-05 13:43:54,946-Speed 56.47 samples/sec   Loss 0.2114   LearningRate 0.0000   Epoch: 38   Global Step: 4900   Fp16 Grad Scale: 32768   Required: 0 hours
Training: 2021-10-05 13:47:16,320-Speed 63.56 samples/sec   Loss 0.2206   LearningRate 0.0000   Epoch: 38   Global Step: 4950   Fp16 Grad Scale: 32768   Required: 0 hours
Training: 2021-10-05 13:50:02,765-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_38.pth'
Training: 2021-10-05 13:50:50,169-Speed 59.86 samples/sec   Loss 0.2476   LearningRate 0.0000   Epoch: 39   Global Step: 5000   Fp16 Grad Scale: 32768   Required: 0 hours
Training: 2021-10-05 13:53:33,474-Speed 78.38 samples/sec   Loss 0.2122   LearningRate 0.0000   Epoch: 39   Global Step: 5050   Fp16 Grad Scale: 32768   Required: 0 hours
Training: 2021-10-05 13:56:52,131-Speed 64.43 samples/sec   Loss 0.2073   LearningRate 0.0000   Epoch: 39   Global Step: 5100   Fp16 Grad Scale: 32768   Required: 0 hours
Training: 2021-10-05 13:58:25,524-Pytorch Model Saved in 'work_dirs/AffectnetOzon_r34/backbone_39.pth'
